Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2017-07-18,64.91254,65.02876,64.571625,64.74983,3888118.8,251965310.0,83.57,0.0,0,0,0
2017-07-19,64.850555,65.2612,64.71109,65.23795,3807132.5,248035040.0,84.2,0.0,0,0,0
2017-07-20,65.276695,65.38516,64.90092,64.93578,4053159.5,264189010.0,83.81,0.0,0,0,0
2017-07-21,64.98228,65.05975,64.57938,64.8893,3837256.5,248603540.0,83.75,0.0,0,0,0
2017-07-24,64.8738,64.95128,64.4709,64.76533,3432197.2,222371940.0,83.59,0.0,0,0,0
2017-07-25,64.81181,64.91254,64.40892,64.850555,3594575.0,232645920.0,83.7,0.0,0,0,0
2017-07-26,64.8738,65.52463,64.726585,65.299934,3842033.2,250730340.0,84.28,0.0,0,0,0
2017-07-27,65.067505,65.6486,64.6801,65.37742,3651020.8,238130530.0,84.38,0.0,0,0,0
2017-07-28,65.392914,65.59436,65.067505,65.19922,3903573.2,254834130.0,84.15,0.0,0,0,0
2017-07-31,65.26894,65.37742,64.772995,65.28445,3830177.2,249033700.0,84.26,0.0,0,0,0
2017-08-01,65.485886,65.857796,65.05975,65.578865,4056423.5,265527250.0,84.64,0.0,0,0,0
2017-08-02,65.4394,65.4394,64.76533,64.98228,2829168.8,183911340.0,83.87,0.0,0,0,0
2017-08-03,64.86605,65.21951,64.61812,64.850555,2623255.5,170164100.0,83.7,0.0,0,0,0
2017-08-04,64.83506,65.19147,64.695595,65.067505,2669938.8,173548340.0,83.98,0.0,0,0,0
2017-08-07,65.08299,65.16551,64.74983,64.997765,2120209.2,137801310.0,83.89,0.0,0,0,0
2017-08-08,64.8738,65.02101,64.52514,64.68784,3000130.8,194126620.0,83.49,0.0,0,0,0
2017-08-09,64.73434,64.76533,64.34694,64.4709,5818847.5,375366850.0,83.21,0.0,0,0,0
2017-08-10,64.33144,64.44766,64.00603,64.00603,5409077.5,347128860.0,82.61,0.0,0,0,0
2017-08-11,64.02152,64.06801,63.324207,63.610878,3475492.2,220897360.0,82.1,0.0,0,0,0
2017-08-14,63.874313,64.79632,63.765842,64.672356,2788081.8,179878480.0,83.47,0.0,0,0,0
2017-08-15,64.548386,64.548386,64.05251,64.47865,2916929.8,187482140.0,83.22,0.0,0,0,0
2017-08-16,64.55613,64.93571,64.55613,64.73434,3801333.5,246234080.0,83.55,0.0,0,0,0
2017-08-17,64.65685,64.8893,64.29782,64.33144,2650948.0,171274200.0,83.03,0.0,0,0,0
2017-08-18,64.16873,64.269455,63.49466,63.680614,2596267.8,165401330.0,82.19,0.0,0,0,0
2017-08-21,63.68836,64.4709,63.587635,64.362434,3211134.2,206337550.0,83.07,0.0,0,0,0
